date,gini
2014-01-19,0.61001504111431615
2014-01-20,0.63158350475241909
2014-01-21,0.63204330452994717
2014-01-22,0.6330476791838705
2014-01-23,0.6342629486169078
2014-01-24,0.637673707970376
2014-01-25,0.63837284693221918
2014-01-26,0.63922606895710121
2014-01-27,0.64362644140747816
2014-01-28,0.66079930312546009
2014-01-29,0.66711735296633179
2014-01-30,0.67976179782154844
2014-01-31,0.68382119633184446
2014-02-01,0.6888640912672428
2014-02-02,0.69554837090064
2014-02-03,0.70165379347296764
2014-02-04,0.707742585069946
2014-02-05,0.71129722122800232
2014-02-06,0.7124823250463691
2014-02-07,0.71269284822415035
2014-02-08,0.791598535698196
2014-02-09,0.784810999432142
2014-02-10,0.78055680715755926
2014-02-11,0.78122929466248359
2014-02-12,0.7775720014692189
2014-02-13,0.77571642925965856
2014-02-14,0.77537459178326618
2014-02-15,0.77606546539312715
2014-02-16,0.77619788160363434
2014-02-17,0.77829663744850641
2014-02-18,0.77244290350212941
2014-02-19,0.77259582317998188
2014-02-20,0.768516565377555
2014-02-21,0.76819846860292929
2014-02-22,0.78273866729950414
2014-02-23,0.79170470683147753
2014-02-24,0.79436863814331315
2014-02-25,0.79567655985750385
2014-02-26,0.79225917028385184
2014-02-27,0.78758709939269955
2014-02-28,0.78893859348032469
2014-03-01,0.7855517534961467
2014-03-02,0.78212008230991192
2014-03-03,0.78068276019877236
2014-03-04,0.78166849849233555
2014-03-05,0.77854053062709638
2014-03-06,0.77617312730983479
2014-03-07,0.7722421411944892
2014-03-08,0.77143800099065407
2014-03-09,0.77092649517184075
2014-03-10,0.76624207562714508
2014-03-11,0.762558087292434
2014-03-12,0.76187658802115954
2014-03-13,0.76046584752183988
2014-03-14,0.76035660572931962
2014-03-15,0.7601165316421904
2014-03-16,0.75912877235320242
2014-03-17,0.75846299061618139
2014-03-18,0.75679419563348727
2014-03-19,0.756026862349663
2014-03-20,0.75022190043566028
2014-03-21,0.75043645998826169
2014-03-22,0.74609053758742216
2014-03-23,0.74471687035613521
2014-03-24,0.74419538242844163
2014-03-25,0.74429402202514827
2014-03-26,0.744189878097447
